ID,Name,State,Source/Technology,RegisteredCapacity_(MW)
ARWF1,Ararat Wind Farm,VIC,"Wind, Wind - Onshore",242
BALDHWF1,Bald Hills Wind Farm,VIC,"Wind, Wind - Onshore",107
BRYB1WF1,Berrybank Wind Farm,VIC,"Wind, Wind - Onshore",181
BULGANA1,Bulgana Green Power Hub - Wind Units 1-56,VIC,"Wind, Wind - Onshore",204
CHALLHWF,Challicum Hills Wind Farm,VIC,"Wind, Wind - Onshore",52
CHYTWF1,Cherry Tree Wind Farm,VIC,"Wind, Wind - Onshore",58
CROWLWF1,Crowlands Wind Farm,VIC,"Wind, Wind - Onshore",80
DIAPURWF1,"Diapur Wind Farm, Units 1-2",VIC,"Wind, Wind - Onshore",8
DUNDWF1,Dundonnell Wind Farm,VIC,"Wind, Wind - Onshore",168
DUNDWF2,Dundonnell Wind Farm,VIC,"Wind, Wind - Onshore",46
DUNDWF3,Dundonnell Wind Farm,VIC,"Wind, Wind - Onshore",121
ELAINWF1,Elaine Wind Farm,VIC,"Wind, Wind - Onshore",84
KIATAWF1,Kiata Wind Farm,VIC,"Wind, Wind - Onshore",31
MACARTH1,Macarthur Wind Farm,VIC,"Wind, Wind - Onshore",420
MERCER01,Mt Mercer Wind Farm,VIC,"Wind, Wind - Onshore",131
MLWF1,Mortons Lane Wind Farm,VIC,"Wind, Wind - Onshore",20
MOORAWF1,Moorabool Wind Farm,VIC,"Wind, Wind - Onshore",312
MTGELWF1,Mt Gellibrand Wind Farm,VIC,"Wind, Wind - Onshore",138
MUWAWF1,Murra Warra Wind Farm,VIC,"Wind, Wind - Onshore",232
MUWAWF2,Murra Warra Wind Farm Stage 2,VIC,"Wind, Wind - Onshore",209
OAKLAND1,Oaklands Hill Wind Farm,VIC,"Wind, Wind - Onshore",67
PORTWF,Portland Wind Farm,VIC,"Wind, Wind - Onshore",148
SALTCRK1,Salt Creek Wind Farm,VIC,"Wind, Wind - Onshore",54
STOCKYD1,Stockyard Hill Wind Farm,VIC,"Wind, Wind - Onshore",531
WAUBRAWF,Waubra Wind Farm,VIC,"Wind, Wind - Onshore",192
YAMBUKWF,Yambuk Wind Farm,VIC,"Wind, Wind - Onshore",30
YENDWF1,Yendon Wind Farm,VIC,"Wind, Wind - Onshore",144
YSWF1,Yaloak South Wind Farm,VIC,"Wind, Wind - Onshore",29
